method,dataset,paper,ours,diff,abs_diff
MLP,Cora,75.33,73.5302806854248,-1.7997193145751993,1.7997193145751993
MLP,Pubmed,86.62,85.7941177368164,-0.8258822631836011,0.8258822631836011
MLP,Cora-CA,75.57,73.5302806854248,-2.039719314575194,2.039719314575194
MLP,DBLP-CA,85.54,84.56420822143555,-0.9757917785644565,0.9757917785644565
MLP,Walmart,63.21,62.03488540649414,-1.1751145935058602,1.1751145935058602
MLP,Actor,86.06,83.35055236816406,-2.7094476318359426,2.7094476318359426
MLP,Gamers,52.57,51.26338424682617,-1.3066157531738298,1.3066157531738298
MLP,Pokec,59.64,59.198666191101076,-0.44133380889892493,0.44133380889892493
MLP,Yelp,31.84,28.206068229675292,-3.6339317703247076,3.6339317703247076
MLP,NTU2012,88.59,85.29820671081544,-3.291793289184568,3.291793289184568
MLP,ModelNet40,96.88,96.19031791687011,-0.6896820831298811,0.6896820831298811
MLP,Ratings,28.47,26.582676029205324,-1.8873239707946752,1.8873239707946752
CEGCN,Cora,76.9,76.69128456115723,-0.20871543884277344,0.20871543884277344
CEGCN,Pubmed,86.03,84.26876296997071,-1.7612370300292923,1.7612370300292923
CEGCN,Cora-CA,78.4,77.93943786621094,-0.4605621337890682,0.4605621337890682
CEGCN,DBLP-CA,89.75,89.97724494934081,0.22724494934081463,0.22724494934081463
CEGCN,Walmart,70.4,64.61962432861328,-5.780375671386722,5.780375671386722
CEGCN,Actor,67.41,67.34563179016114,-0.06436820983886093,0.06436820983886093
CEGCN,Gamers,51.02,50.35094165802002,-0.6690583419799836,0.6690583419799836
CEGCN,Pokec,57.37,57.84000091552734,0.47000091552734347,0.47000091552734347
CEGCN,NTU2012,84.93,81.92842597961426,-3.001574020385746,3.001574020385746
CEGCN,ModelNet40,92.34,91.9535530090332,-0.38644699096680313,0.38644699096680313
CEGCN,Ratings,26.65,27.223816680908204,0.5738166809082053,0.5738166809082053
CEGAT,Cora,77.22,73.24963035583497,-3.9703696441650322,3.9703696441650322
CEGAT,Pubmed,86.09,84.50709991455078,-1.582900085449225,1.582900085449225
CEGAT,Cora-CA,78.02,77.06794662475586,-0.9520533752441338,0.9520533752441338
CEGAT,DBLP-CA,89.61,89.79421043395996,0.1842104339599615,0.1842104339599615
CEGAT,Actor,73.87,64.3862226486206,-9.483777351379402,9.483777351379402
CEGAT,Gamers,51.05,50.16892795562744,-0.8810720443725586,0.8810720443725586
CEGAT,Pokec,57.34,57.6546667098999,0.3146667098998961,0.3146667098998961
CEGAT,NTU2012,84.14,82.34592056274414,-1.79407943725586,1.79407943725586
CEGAT,ModelNet40,92.02,91.79440956115722,-0.2255904388427723,0.2255904388427723
CEGAT,Ratings,28.23,28.096305942535402,-0.13369405746459861,0.13369405746459861
HGNN,Cora,77.9,79.08419418334961,1.1841941833496037,1.1841941833496037
HGNN,Pubmed,86.17,65.46044692993163,-20.709553070068367,20.709553070068367
HGNN,Cora-CA,82.84,82.38552398681641,-0.4544760131835943,0.4544760131835943
HGNN,DBLP-CA,91.0,89.80341148376465,-1.1965885162353516,1.1965885162353516
